course_id,price,num_lectures,content_duration,year_p,month_p,date_p,is_success,level_enc,is_paid_False,is_paid_True,business_subject,graphic_subject,music_subject,webdev_subject
914164,195,45,4.5,2016,9,22,0,1,0,1,1,0,0,0
876898,200,20,2.0,2016,10,18,0,0,0,1,1,0,0,0
877968,20,19,4.0,2016,6,20,0,0,0,1,1,0,0,0
1230950,50,8,1.5,2017,6,23,0,2,0,1,1,0,0,0
953432,50,6,0.67,2016,10,16,0,1,0,1,1,0,0,0
872204,35,12,1.0,2016,6,27,0,0,0,1,1,0,0,0
1027678,25,13,1.0,2017,3,6,0,2,0,1,1,0,0,0
304420,20,10,1.0,2014,9,22,0,0,0,1,1,0,0,0
1078254,30,51,5.0,2017,2,2,0,0,0,1,1,0,0,0
1193288,30,41,8.5,2017,5,3,0,0,0,1,1,0,0,0
1106148,55,11,1.0,2017,4,17,0,2,0,1,1,0,0,0
1029322,200,10,2.0,2017,1,19,0,0,0,1,1,0,0,0
676650,20,9,1.0,2015,11,23,0,1,0,1,1,0,0,0
129274,30,42,4.0,2013,12,11,0,0,0,1,1,0,0,0
634932,125,18,1.5,2015,10,26,0,1,0,1,1,0,0,0
116924,25,35,8.5,2014,1,29,0,1,0,1,1,0,0,0
1174086,35,46,3.0,2017,4,19,0,0,0,1,1,0,0,0
369726,0,10,2.0,2016,4,2,1,1,1,0,1,0,0,0
427040,20,7,1.5,2015,2,25,0,0,0,1,1,0,0,0
1132162,20,27,4.5,2017,3,27,0,1,0,1,1,0,0,0
1206414,85,47,5.0,2017,5,18,0,1,0,1,1,0,0,0
997128,25,14,2.0,2016,12,10,0,0,0,1,1,0,0,0
826168,0,9,1.5,2016,4,21,0,0,1,0,1,0,0,0
1039930,70,53,7.0,2016,12,14,0,0,0,1,1,0,0,0
1232390,100,13,3.5,2017,7,3,0,1,0,1,1,0,0,0
1232312,50,9,1.5,2017,6,28,0,2,0,1,1,0,0,0
1251654,75,13,2.5,2017,6,29,0,1,0,1,1,0,0,0
712994,0,27,3.0,2016,1,13,0,0,1,0,1,0,0,0
1024862,0,7,1.0,2017,6,6,0,0,1,0,1,0,0,0
123242,0,13,3.0,2014,2,6,0,1,1,0,1,0,0,0
788720,0,22,1.0,2016,4,11,0,0,1,0,1,0,0,0
196164,0,5,0.67,2014,4,9,0,0,1,0,1,0,0,0
1268616,0,15,1.5,2017,7,6,0,0,1,0,1,0,0,0
1100746,25,33,1.5,2017,2,21,1,2,0,1,1,0,0,0
1005312,20,14,1.0,2017,1,19,1,1,0,1,1,0,0,0
624016,195,40,3.5,2015,11,6,0,2,0,1,1,0,0,0
323916,45,15,1.0,2017,5,24,0,0,0,1,1,0,0,0
743568,65,39,3.5,2016,3,6,0,1,0,1,1,0,0,0
479688,20,24,2.0,2015,4,20,1,0,0,1,1,0,0,0
1189592,95,44,8.5,2017,5,3,0,0,0,1,1,0,0,0
578534,30,44,10.5,2015,8,27,0,0,0,1,1,0,0,0
791574,0,15,1.0,2017,1,3,1,0,1,0,1,0,0,0
379196,40,39,2.0,2015,1,9,0,1,0,1,1,0,0,0
331968,50,37,5.5,2014,12,18,0,2,0,1,1,0,0,0
576636,40,19,2.0,2015,8,11,0,0,0,1,1,0,0,0
724596,200,33,2.5,2016,1,12,0,0,0,1,1,0,0,0
822808,195,11,1.5,2016,4,29,0,1,0,1,1,0,0,0
932274,200,15,1.0,2016,8,19,0,0,0,1,1,0,0,0
32908,50,75,12.5,2013,1,15,0,0,0,1,1,0,0,0
883394,20,11,0.6,2016,6,21,0,0,0,1,1,0,0,0
20185,25,46,7.0,2012,10,1,1,0,0,1,1,0,0,0
188418,195,32,14.0,2014,3,27,0,0,0,1,1,0,0,0
975982,200,12,1.0,2016,11,17,0,0,0,1,1,0,0,0
674352,200,18,1.5,2016,1,28,0,3,0,1,1,0,0,0
936884,0,26,1.5,2016,8,22,1,0,1,0,1,0,0,0
707644,100,17,1.5,2016,9,3,0,1,0,1,1,0,0,0
700140,20,16,2.0,2015,12,17,0,0,0,1,1,0,0,0
546656,200,20,2.5,2016,1,15,0,0,0,1,1,0,0,0
1041926,115,32,1.5,2017,3,23,0,0,0,1,1,0,0,0
1253868,200,56,3.0,2017,6,28,0,0,0,1,1,0,0,0
645634,200,21,2.5,2015,11,11,0,0,0,1,1,0,0,0
528104,50,27,5.5,2015,6,16,0,0,0,1,1,0,0,0
1053462,150,158,17.5,2016,12,29,0,0,0,1,1,0,0,0
148028,20,30,3.5,2014,1,27,0,0,0,1,1,0,0,0
179824,50,16,2.5,2014,3,11,0,0,0,1,1,0,0,0
777276,20,47,4.5,2016,6,29,0,1,0,1,1,0,0,0
174790,50,27,8.5,2014,5,9,0,2,0,1,1,0,0,0
247940,35,18,1.0,2014,6,30,0,0,0,1,1,0,0,0
42146,40,48,6.5,2014,2,27,0,2,0,1,1,0,0,0
408894,20,28,2.0,2015,1,31,0,0,0,1,1,0,0,0
176136,20,59,8.0,2014,3,22,0,0,0,1,1,0,0,0
929146,35,49,5.0,2016,8,17,0,1,0,1,1,0,0,0
260066,180,241,17.5,2014,7,12,0,1,0,1,1,0,0,0
682514,50,17,1.5,2016,2,3,0,3,0,1,1,0,0,0
66383,40,50,8.5,2013,9,15,0,1,0,1,1,0,0,0
390198,50,7,2.0,2015,1,12,0,0,0,1,1,0,0,0
679238,95,29,1.5,2015,11,27,0,0,0,1,1,0,0,0
476622,40,34,4.0,2015,4,26,0,1,0,1,1,0,0,0
764010,40,13,1.0,2016,2,17,0,0,0,1,1,0,0,0
178776,50,24,4.5,2014,3,11,0,0,0,1,1,0,0,0
562668,20,86,4.0,2015,9,1,0,0,0,1,1,0,0,0
521952,200,25,2.5,2016,10,25,0,0,0,1,1,0,0,0
692268,20,22,2.0,2016,1,3,0,1,0,1,1,0,0,0
258174,20,14,1.0,2014,7,9,0,0,0,1,1,0,0,0
54677,25,26,3.0,2013,5,19,0,0,0,1,1,0,0,0
619716,20,14,3.0,2015,9,23,0,1,0,1,1,0,0,0
986272,200,21,1.5,2016,10,29,0,0,0,1,1,0,0,0
466558,20,24,0.57,2015,4,20,0,1,0,1,1,0,0,0
65113,50,17,8.0,2013,7,23,0,0,0,1,1,0,0,0
685190,65,30,4.0,2015,12,1,0,0,0,1,1,0,0,0
179978,50,21,3.0,2014,3,11,0,1,0,1,1,0,0,0
248338,50,36,1.0,2014,9,5,0,1,0,1,1,0,0,0
455120,195,54,3.5,2015,8,27,0,0,0,1,1,0,0,0
273448,20,17,1.5,2014,8,2,0,0,0,1,1,0,0,0
803028,0,11,0.63,2016,3,25,1,0,1,0,1,0,0,0
985104,20,19,2.5,2016,11,11,0,1,0,1,1,0,0,0
396888,30,15,2.5,2015,1,23,0,1,0,1,1,0,0,0
1001010,50,27,1.5,2016,11,10,0,2,0,1,1,0,0,0
950748,20,18,0.72,2016,9,12,0,2,0,1,1,0,0,0
1250694,20,18,1.0,2017,6,27,0,1,0,1,1,0,0,0
932454,40,60,2.0,2016,8,18,0,0,0,1,1,0,0,0
400464,100,43,5.5,2015,2,17,1,1,0,1,1,0,0,0
1021104,85,19,2.5,2017,1,20,0,0,0,1,1,0,0,0
1193056,90,18,2.5,2017,5,5,0,1,0,1,1,0,0,0
986024,25,8,0.65,2016,10,28,0,1,0,1,1,0,0,0
352782,55,53,3.0,2014,12,10,0,0,0,1,1,0,0,0
749468,40,72,3.0,2016,6,6,0,1,0,1,1,0,0,0
915206,0,15,1.5,2016,9,21,1,1,1,0,1,0,0,0
615206,35,34,1.5,2015,9,27,0,0,0,1,1,0,0,0
368916,20,15,0.63,2014,12,14,0,2,0,1,1,0,0,0
787508,25,16,1.5,2016,4,5,0,1,0,1,1,0,0,0
249934,180,187,13.0,2014,6,25,0,1,0,1,1,0,0,0
323828,20,11,0.62,2014,11,1,0,2,0,1,1,0,0,0
1223000,50,31,6.0,2017,5,25,0,1,0,1,1,0,0,0
772950,20,41,4.0,2016,3,2,0,0,0,1,1,0,0,0
900472,20,10,1.0,2016,7,9,0,0,0,1,1,0,0,0
796486,25,8,0.57,2016,3,18,0,1,0,1,1,0,0,0
871358,50,28,5.0,2016,6,20,0,0,0,1,1,0,0,0
931588,20,23,2.0,2016,8,17,0,2,0,1,1,0,0,0
